theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,caddy_reverse_proxy_upstreams_healthy,false,Health status of each reverse proxy upstream; 1=healthy/reachable 0=unhealthy/failing health checks,{status},gauge,caddy_reverse_proxy_upstreams_healthy,query-value|timeseries|top-list,sum,none,,context.env|context.team,context.upstream|context.scope,Caddy has no reverse_proxy configured — gate this section; or all upstreams are healthy,Low cardinality per upstream address; upstream count bounded by config,prometheus=caddy_reverse_proxy_upstreams_healthy,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/reverseproxy/metrics.go
Availability/Health,caddy_http_request_errors_total,false,Total count of requests that encountered a middleware error (internal handler failures — not HTTP 4xx/5xx status codes),{errors},counter,caddy_http_request_errors_total,timeseries|query-value,sum,per-second,context.server:10|context.handler:10,context.env|context.team,context.server|context.handler|context.scope,No middleware errors — normal healthy state; absence of handler labels means no errors have been recorded,Cardinality = server × handler; keep handler group-by limited,prometheus=caddy_http_request_errors_total,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/metrics.go
Throughput/Usage,caddy_http_request_duration_seconds_count,false,Total HTTP requests processed — the count dimension of the caddy_http_request_duration_seconds histogram; primary request rate signal,{requests},counter,caddy_http_request_duration_seconds_count,timeseries|query-value,sum,per-second,context.server:10|context.handler:10,context.env|context.team,context.server|context.handler|context.code|context.method|context.scope,No HTTP traffic flowing; check caddy_build_info and upstream routing,High cardinality: server × handler × code × method — filter or group by one dimension at a time,prometheus=caddy_http_request_duration_seconds,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/metrics.go
Throughput/Usage,caddy_admin_http_requests_total,false,Total requests to the Caddy admin API (config reload path /config /id etc.); reflects operator/CI activity not user traffic,{requests},counter,caddy_admin_http_requests_total,timeseries|query-value,sum,per-second,context.method:10|context.path:10,context.env|context.team,context.handler|context.method|context.path|context.statuscode,Caddy admin API not being accessed — normal during stable periods; check if scrape endpoint is the admin port,Medium cardinality: handler × method × path × statuscode; path can be high-cardinality with dynamic config IDs,prometheus=caddy_admin_http_requests_total,https://caddyserver.com/docs/api
Latency,caddy_http_request_duration_seconds,false,Histogram of full round-trip request durations from connection accept to response complete (includes TLS + backend latency for reverse proxy),s,histogram,caddy_http_request_duration_seconds,timeseries,percentile,none,context.server:10|context.handler:10,context.env|context.team,context.server|context.handler|context.code|context.method|context.scope,No HTTP traffic; histogram exists but no observations,High cardinality across server × handler × code × method; use server+handler group-by for latency percentiles,prometheus=caddy_http_request_duration_seconds,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/metrics.go
Latency,caddy_http_response_duration_seconds,false,Histogram of time-to-first-byte (TTFB) — time from request receipt to first byte sent to client; useful proxy for backend responsiveness under reverse_proxy,s,histogram,caddy_http_response_duration_seconds,timeseries,percentile,none,context.server:10|context.handler:10,context.env|context.team,context.server|context.handler|context.code|context.method|context.scope,No HTTP responses served; or Caddy version < 2.5 (metric not present),Same cardinality risk as request_duration — filter to reverse_proxy handler for backend latency signal,prometheus=caddy_http_response_duration_seconds,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/metrics.go
Capacity/Saturation,caddy_http_requests_in_flight,false,Current number of requests being handled across all active connections; a gauge snapshot not a rate,{requests},gauge,caddy_http_requests_in_flight,query-value|timeseries,max,none,context.server:10|context.handler:10,context.env|context.team,context.server|context.handler|context.scope,No active HTTP requests — Caddy idle or not receiving traffic,Cardinality = server × handler; reasonable if handler set is bounded,prometheus=caddy_http_requests_in_flight,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/metrics.go
Capacity/Saturation,caddy_http_request_size_bytes,false,Histogram of total request size (headers + body) per handled request; high values indicate large payload uploads,By,histogram,caddy_http_request_size_bytes,timeseries,percentile,none,,context.env|context.team,context.server|context.handler|context.code|context.method|context.scope,No inbound requests recorded,Same high cardinality as request_duration — group by server+handler only,prometheus=caddy_http_request_size_bytes,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/metrics.go
Capacity/Saturation,caddy_http_response_size_bytes,false,Histogram of total response size (headers + body) per handled request; high values indicate large responses to clients,By,histogram,caddy_http_response_size_bytes,timeseries,percentile,none,,context.env|context.team,context.server|context.handler|context.code|context.method|context.scope,No outbound responses served,Same high cardinality as request_duration,prometheus=caddy_http_response_size_bytes,https://github.com/caddyserver/caddy/blob/master/modules/caddyhttp/metrics.go
Capacity/Saturation,go_goroutines,false,Number of goroutines currently running in the Caddy Go runtime; sustained increase indicates goroutine leak,{goroutines},gauge,go_goroutines,query-value|timeseries,max,none,,context.env|context.team,context.scope,Caddy process metric missing; expect 20-100 at steady state,Low cardinality per instance,prometheus=go_goroutines,https://pkg.go.dev/runtime
Capacity/Saturation,go_memstats_heap_alloc_bytes,false,Current heap memory allocated and in use by the Caddy Go runtime,By,gauge,go_memstats_heap_alloc_bytes,query-value|timeseries,max,none,,context.env|context.team,context.scope,Caddy runtime metric missing,Low cardinality per instance,prometheus=go_memstats_heap_alloc_bytes,https://pkg.go.dev/runtime
Capacity/Saturation,go_memstats_heap_sys_bytes,false,Total heap memory obtained from the OS by the Caddy Go runtime; denominator for heap utilization %,By,gauge,go_memstats_heap_sys_bytes,query-value|timeseries,max,none,,context.env|context.team,context.scope,Caddy runtime metric missing,Low cardinality per instance,prometheus=go_memstats_heap_sys_bytes,https://pkg.go.dev/runtime
Capacity/Saturation,process_resident_memory_bytes,false,Resident set size (RSS) memory used by the Caddy process; includes all in-use memory pages,By,gauge,process_resident_memory_bytes,query-value|timeseries,max,none,,context.env|context.team,context.scope,Caddy process metric missing; expected 50-200MB for light-medium load,Low cardinality per instance,prometheus=process_resident_memory_bytes,https://prometheus.io/docs/instrumenting/writing_clientlibs/
Capacity/Saturation,process_cpu_seconds_total,false,Total CPU time consumed by the Caddy process (cumulative counter); use .cumulativetodelta variant or rate function,s,counter,process_cpu_seconds_total,timeseries,sum,rate,context.scope:20,context.env|context.team,context.scope,Caddy process metric missing; confirmed cumulative (not delta),Low cardinality per instance,prometheus=process_cpu_seconds_total,https://prometheus.io/docs/instrumenting/writing_clientlibs/
Availability/Health,promhttp_metric_handler_requests_total,false,Total scrape requests to the Caddy /metrics endpoint by HTTP status code; 200=success 500/503=error,{requests},counter,promhttp_metric_handler_requests_total,timeseries|query-value,sum,per-second,context.code:3,context.env|context.team,context.scope|context.code,Caddy is not being scraped; check OTel collector Prometheus receiver config,Very low cardinality (3 status codes: 200/500/503),prometheus=promhttp_metric_handler_requests_total,https://pkg.go.dev/github.com/prometheus/client_golang/prometheus/promhttp
Cost,NOT_APPLICABLE,false,Caddy does not expose cost-related metrics. Cost proxies: caddy_http_request_duration_seconds_count (request volume as billing proxy) and caddy_http_response_size_bytes_sum (egress bandwidth proxy).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
